customer_id,customer_name,region,customer_type
C0195,Customer_195,South,Retail
C0196,Customer_196,South,Online
C0197,Customer_197,East,Retail
C0198,Customer_198,South,Online
C0199,Customer_199,West,Retail
C0200,Customer_200,North,Retail
C0201,Customer_201,North,Wholesale
C0202,Customer_202,North,Wholesale
C0203,Customer_203,West,Online
C0204,Customer_204,North,Retail
C0205,Customer_205,South,Wholesale
C0206,Customer_206,South,Retail
C0207,Customer_207,South,Retail
C0208,Customer_208,West,Online
C0209,Customer_209,South,Online
C0210,Customer_210,East,Wholesale
C0211,Customer_211,South,Wholesale
C0212,Customer_212,West,Online
C0213,Customer_213,West,Retail
C0214,Customer_214,South,Retail
C0215,Customer_215,North,Retail
C0216,Customer_216,North,Retail
C0217,Customer_217,West,Online
C0218,Customer_218,East,Retail
C0219,Customer_219,North,Retail
C0220,Customer_220,North,Retail
C0221,Customer_221,West,Online
C0222,Customer_222,North,Retail
C0223,Customer_223,West,Wholesale
C0224,Customer_224,South,Wholesale
C0225,Customer_225,South,Wholesale
C0226,Customer_226,East,Wholesale
C0227,Customer_227,West,Retail
C0228,Customer_228,East,Online
C0229,Customer_229,North,Wholesale
C0230,Customer_230,East,Retail
C0231,Customer_231,West,Wholesale
C0232,Customer_232,South,Online
C0233,Customer_233,North,Online
C0234,Customer_234,North,Retail
C0235,Customer_235,South,Wholesale
C0236,Customer_236,North,Retail
C0237,Customer_237,South,Online
C0238,Customer_238,West,Wholesale
C0239,Customer_239,West,Online
C0240,Customer_240,South,Retail
C0241,Customer_241,East,Retail
C0242,Customer_242,North,Online
C0243,Customer_243,West,Wholesale
C0244,Customer_244,East,Online
C0245,Customer_245,West,Wholesale
C0246,Customer_246,East,Retail
C0247,Customer_247,North,Wholesale
C0248,Customer_248,North,Retail
C0249,Customer_249,South,Online
C0250,Customer_250,South,Online
C0251,Customer_251,East,Online
C0252,Customer_252,West,Retail
C0253,Customer_253,North,Online
C0254,Customer_254,West,Retail
C0255,Customer_255,West,Retail
C0256,Customer_256,North,Retail
C0257,Customer_257,South,Retail
C0258,Customer_258,West,Retail
C0259,Customer_259,North,Retail
C0260,Customer_260,North,Retail
C0261,Customer_261,South,Wholesale
C0262,Customer_262,North,Retail
C0263,Customer_263,North,Online
C0264,Customer_264,South,Retail
C0265,Customer_265,South,Retail
C0266,Customer_266,South,Retail
C0267,Customer_267,West,Retail
C0268,Customer_268,West,Retail
C0269,Customer_269,North,Online
C0270,Customer_270,East,Online
C0271,Customer_271,North,Online
C0272,Customer_272,West,Retail
C0273,Customer_273,South,Wholesale
C0274,Customer_274,North,Online
C0275,Customer_275,East,Online
C0276,Customer_276,South,Wholesale
C0277,Customer_277,North,Retail
C0278,Customer_278,East,Online
C0279,Customer_279,North,Retail
C0280,Customer_280,North,Retail
C0281,Customer_281,West,Retail
C0282,Customer_282,South,Wholesale
C0283,Customer_283,West,Retail
C0284,Customer_284,North,Wholesale
C0285,Customer_285,South,Retail
C0286,Customer_286,West,Online
C0287,Customer_287,North,Wholesale
C0288,Customer_288,West,Online
C0289,Customer_289,North,Online
C0290,Customer_290,North,Online
C0291,Customer_291,East,Online
C0292,Customer_292,East,Retail
C0293,Customer_293,East,Retail
C0294,Customer_294,West,Retail
C0295,Customer_295,South,Online
C0296,Customer_296,North,Wholesale
C0297,Customer_297,East,Online
C0298,Customer_298,West,Retail
C0299,Customer_299,North,Retail
C0300,Customer_300,South,Retail
C0301,Customer_301,East,Retail
C0302,Customer_302,North,Online
C0303,Customer_303,West,Retail
C0304,Customer_304,South,Online
C0305,Customer_305,East,Retail
C0306,Customer_306,South,Online
C0307,Customer_307,North,Online
C0308,Customer_308,East,Retail
C0309,Customer_309,West,Retail
C0310,Customer_310,South,Wholesale
C0311,Customer_311,North,Online
C0312,Customer_312,East,Retail
C0313,Customer_313,North,Retail
C0314,Customer_314,East,Retail
C0315,Customer_315,East,Online
C0316,Customer_316,West,Retail
C0317,Customer_317,South,Retail
C0318,Customer_318,South,Retail
C0319,Customer_319,South,Online
C0320,Customer_320,South,Retail
C0321,Customer_321,South,Retail
C0322,Customer_322,East,Retail
C0323,Customer_323,West,Online
C0324,Customer_324,North,Retail
C0325,Customer_325,West,Wholesale
C0326,Customer_326,North,Wholesale
C0327,Customer_327,South,Online
C0328,Customer_328,West,Online
C0329,Customer_329,East,Online
C0330,Customer_330,South,Retail
C0331,Customer_331,North,Online
C0332,Customer_332,North,Wholesale
C0333,Customer_333,South,Online
C0334,Customer_334,South,Retail
C0335,Customer_335,South,Retail
C0336,Customer_336,South,Wholesale
C0337,Customer_337,North,Online
C0338,Customer_338,East,Retail
C0339,Customer_339,West,Retail
C0340,Customer_340,South,Online
C0341,Customer_341,North,Online
C0342,Customer_342,North,Wholesale
C0343,Customer_343,East,Retail
C0344,Customer_344,South,Wholesale
C0345,Customer_345,East,Retail
C0346,Customer_346,South,Online
C0347,Customer_347,South,Online
C0348,Customer_348,North,Wholesale
C0349,Customer_349,East,Wholesale
C0350,Customer_350,East,Online
C0351,Customer_351,East,Online
C0352,Customer_352,West,Retail
C0353,Customer_353,West,Wholesale
C0354,Customer_354,North,Retail
C0355,Customer_355,West,Wholesale
C0356,Customer_356,North,Wholesale
C0357,Customer_357,North,Retail
C0358,Customer_358,East,Online
C0359,Customer_359,North,Retail
C0360,Customer_360,East,Online
C0361,Customer_361,West,Retail
C0362,Customer_362,East,Online
C0363,Customer_363,West,Wholesale
C0364,Customer_364,West,Retail
C0365,Customer_365,North,Retail
C0366,Customer_366,East,Online
C0367,Customer_367,South,Online
C0368,Customer_368,North,Wholesale
C0369,Customer_369,South,Retail
C0370,Customer_370,North,Wholesale
C0371,Customer_371,East,Wholesale
C0372,Customer_372,West,Wholesale
C0373,Customer_373,West,Wholesale
C0374,Customer_374,West,Retail
C0375,Customer_375,East,Retail
C0376,Customer_376,North,Online
C0377,Customer_377,South,Retail
C0378,Customer_378,East,Online
C0379,Customer_379,West,Online
C0380,Customer_380,West,Wholesale
C0381,Customer_381,North,Retail
C0382,Customer_382,South,Wholesale
C0383,Customer_383,West,Retail
C0384,Customer_384,West,Online
C0385,Customer_385,East,Retail
C0386,Customer_386,North,Online
C0387,Customer_387,East,Retail
C0388,Customer_388,South,Retail
C0389,Customer_389,West,Online
C0390,Customer_390,West,Online
C0391,Customer_391,South,Online
C0392,Customer_392,North,Online
C0393,Customer_393,North,Retail
C0394,Customer_394,West,Retail
C0395,Customer_395,West,Wholesale
C0396,Customer_396,South,Retail
C0397,Customer_397,North,Wholesale
C0398,Customer_398,West,Retail
C0399,Customer_399,South,Online
C0400,Customer_400,South,Online
