order_id,order_date,customer_id,region,customer_type,product_id,product_name,category,quantity,unit_price,discount_pct,revenue,cost,profit
O000063,2024-01-14,C0168,South,Retail,P0002,Smart Watch,Electronics,2,189.4,0.0,378.8,201.88,176.92
O000064,2024-01-14,C0141,North,Online,P0002,Smart Watch,Electronics,6,189.4,0.1,1022.76,605.64,417.12
O000065,2024-01-14,C0034,West,Online,P0016,Ergonomic Chair,Office Supplies,5,85.32,0.15,362.61,257.15,105.46
O000066,2024-01-14,C0270,East,Online,P0006,Air Fryer,Home & Kitchen,2,298.69,0.05,567.51,304.0,263.51
O000067,2024-01-15,C0296,North,Wholesale,P0014,Sunglasses,Apparel,7,226.65,0.1,1427.9,832.72,595.18
O000068,2024-01-15,C0028,South,Wholesale,P0002,Smart Watch,Electronics,3,189.4,0.15,482.97,302.82,180.15
O000069,2024-01-15,C0056,North,Wholesale,P0009,Vacuum Cleaner,Home & Kitchen,7,86.66,0.05,576.29,372.68,203.61
O000070,2024-01-15,C0161,North,Online,P0011,Running Shoes,Apparel,2,291.03,0.15,494.75,270.64,224.11
O000071,2024-01-15,C0251,East,Online,P0009,Vacuum Cleaner,Home & Kitchen,2,86.66,0.05,164.65,106.48,58.17
O000072,2024-01-15,C0144,North,Retail,P0019,Desk Organizer,Office Supplies,7,260.68,0.0,1824.76,1196.65,628.11
O000073,2024-01-15,C0277,North,Retail,P0010,Coffee Maker,Home & Kitchen,4,276.64,0.1,995.9,821.68,174.22
O000074,2024-01-16,C0326,North,Wholesale,P0012,Denim Jacket,Apparel,5,97.06,0.1,436.77,284.1,152.67
O000075,2024-01-16,C0126,North,Retail,P0017,Standing Desk,Office Supplies,4,143.29,0.05,544.5,347.8,196.7
O000076,2024-01-16,C0194,North,Online,P0003,Bluetooth Speaker,Electronics,5,365.93,0.1,1646.69,1076.65,570.04
O000077,2024-01-16,C0086,West,Online,P0002,Smart Watch,Electronics,3,189.4,0.0,568.2,302.82,265.38
O000078,2024-01-16,C0089,West,Wholesale,P0001,Wireless Earbuds,Electronics,6,46.85,0.0,281.1,145.08,136.02
O000079,2024-01-16,C0379,West,Online,P0002,Smart Watch,Electronics,1,189.4,0.0,189.4,100.94,88.46
O000080,2024-01-16,C0307,North,Online,P0016,Ergonomic Chair,Office Supplies,6,85.32,0.1,460.73,308.58,152.15
O000081,2024-01-17,C0224,South,Wholesale,P0016,Ergonomic Chair,Office Supplies,6,85.32,0.0,511.92,308.58,203.34
O000082,2024-01-17,C0303,West,Retail,P0008,Cookware Set,Home & Kitchen,7,144.8,0.15,861.56,483.63,377.93
O000083,2024-01-17,C0270,East,Online,P0017,Standing Desk,Office Supplies,3,143.29,0.0,429.87,260.85,169.02
O000084,2024-01-17,C0242,North,Online,P0015,Wallet,Apparel,3,245.76,0.1,663.55,449.49,214.06
O000085,2024-01-17,C0224,South,Wholesale,P0004,Power Bank,Electronics,7,156.84,0.1,988.09,799.68,188.41
O000086,2024-01-18,C0185,North,Retail,P0010,Coffee Maker,Home & Kitchen,5,276.64,0.0,1383.2,1027.1,356.1
O000087,2024-01-18,C0241,East,Retail,P0020,Monitor Arm,Office Supplies,5,193.94,0.0,969.7,647.0,322.7
O000088,2024-01-18,C0375,East,Retail,P0003,Bluetooth Speaker,Electronics,4,365.93,0.0,1463.72,861.32,602.4
O000089,2024-01-18,C0390,West,Online,P0004,Power Bank,Electronics,3,156.84,0.0,470.52,342.72,127.8
O000090,2024-01-19,C0010,East,Online,P0014,Sunglasses,Apparel,5,226.65,0.05,1076.59,594.8,481.79
O000091,2024-01-19,C0361,West,Retail,P0016,Ergonomic Chair,Office Supplies,5,85.32,0.05,405.27,257.15,148.12
O000092,2024-01-19,C0348,North,Wholesale,P0017,Standing Desk,Office Supplies,1,143.29,0.2,114.63,86.95,27.68
O000093,2024-01-19,C0113,South,Retail,P0012,Denim Jacket,Apparel,4,97.06,0.05,368.83,227.28,141.55
O000094,2024-01-19,C0119,South,Online,P0012,Denim Jacket,Apparel,2,97.06,0.0,194.12,113.64,80.48
O000095,2024-01-19,C0326,North,Wholesale,P0006,Air Fryer,Home & Kitchen,3,298.69,0.0,896.07,456.0,440.07
O000096,2024-01-19,C0365,North,Retail,P0010,Coffee Maker,Home & Kitchen,6,276.64,0.15,1410.86,1232.52,178.34
O000097,2024-01-19,C0014,West,Online,P0003,Bluetooth Speaker,Electronics,3,365.93,0.05,1042.9,645.99,396.91
O000098,2024-01-19,C0294,West,Retail,P0004,Power Bank,Electronics,1,156.84,0.1,141.16,114.24,26.92
O000099,2024-01-19,C0090,West,Retail,P0010,Coffee Maker,Home & Kitchen,3,276.64,0.0,829.92,616.26,213.66
O000100,2024-01-19,C0313,North,Retail,P0010,Coffee Maker,Home & Kitchen,2,276.64,0.0,553.28,410.84,142.44
O000101,2024-01-20,C0196,South,Online,P0006,Air Fryer,Home & Kitchen,7,298.69,0.05,1986.29,1064.0,922.29
O000102,2024-01-20,C0115,West,Wholesale,P0009,Vacuum Cleaner,Home & Kitchen,2,86.66,0.0,173.32,106.48,66.84
O000103,2024-01-20,C0333,South,Online,P0013,Backpack,Apparel,6,282.71,0.0,1696.26,1204.44,491.82
O000104,2024-01-20,C0170,North,Wholesale,P0007,Blender,Home & Kitchen,1,121.55,0.05,115.47,88.76,26.71
O000105,2024-01-21,C0235,South,Wholesale,P0008,Cookware Set,Home & Kitchen,3,144.8,0.15,369.24,207.27,161.97
O000106,2024-01-21,C0020,South,Retail,P0002,Smart Watch,Electronics,4,189.4,0.05,719.72,403.76,315.96
O000107,2024-01-21,C0290,North,Online,P0004,Power Bank,Electronics,5,156.84,0.0,784.2,571.2,213.0
O000108,2024-01-21,C0374,West,Retail,P0001,Wireless Earbuds,Electronics,4,46.85,0.0,187.4,96.72,90.68
O000109,2024-01-21,C0290,North,Online,P0020,Monitor Arm,Office Supplies,4,193.94,0.0,775.76,517.6,258.16
O000110,2024-01-21,C0033,East,Online,P0019,Desk Organizer,Office Supplies,2,260.68,0.1,469.22,341.9,127.32
O000111,2024-01-21,C0384,West,Online,P0010,Coffee Maker,Home & Kitchen,1,276.64,0.0,276.64,205.42,71.22
O000112,2024-01-21,C0140,South,Online,P0002,Smart Watch,Electronics,4,189.4,0.0,757.6,403.76,353.84
O000113,2024-01-22,C0108,North,Online,P0008,Cookware Set,Home & Kitchen,3,144.8,0.1,390.96,207.27,183.69
O000114,2024-01-22,C0282,South,Wholesale,P0006,Air Fryer,Home & Kitchen,4,298.69,0.15,1015.55,608.0,407.55
O000115,2024-01-23,C0224,South,Wholesale,P0004,Power Bank,Electronics,2,156.84,0.0,313.68,228.48,85.2
O000116,2024-01-23,C0221,West,Online,P0012,Denim Jacket,Apparel,1,97.06,0.0,97.06,56.82,40.24
O000117,2024-01-23,C0356,North,Wholesale,P0014,Sunglasses,Apparel,3,226.65,0.0,679.95,356.88,323.07
O000118,2024-01-23,C0091,South,Retail,P0015,Wallet,Apparel,4,245.76,0.0,983.04,599.32,383.72
O000119,2024-01-24,C0366,East,Online,P0002,Smart Watch,Electronics,2,189.4,0.0,378.8,201.88,176.92
O000120,2024-01-24,C0307,North,Online,P0020,Monitor Arm,Office Supplies,2,193.94,0.0,387.88,258.8,129.08
O000121,2024-01-24,C0090,West,Retail,P0008,Cookware Set,Home & Kitchen,6,144.8,0.1,781.92,414.54,367.38
O000122,2024-01-24,C0231,West,Wholesale,P0010,Coffee Maker,Home & Kitchen,2,276.64,0.0,553.28,410.84,142.44
O000123,2024-01-24,C0288,West,Online,P0004,Power Bank,Electronics,1,156.84,0.2,125.47,114.24,11.23
O000124,2024-01-24,C0358,East,Online,P0013,Backpack,Apparel,3,282.71,0.0,848.13,602.22,245.91
O000125,2024-01-25,C0052,North,Retail,P0015,Wallet,Apparel,4,245.76,0.0,983.04,599.32,383.72
O000126,2024-01-25,C0136,South,Online,P0017,Standing Desk,Office Supplies,4,143.29,0.0,573.16,347.8,225.36
O000127,2024-01-25,C0279,North,Retail,P0015,Wallet,Apparel,2,245.76,0.1,442.37,299.66,142.71
O000128,2024-01-25,C0041,North,Wholesale,P0009,Vacuum Cleaner,Home & Kitchen,3,86.66,0.05,246.98,159.72,87.26
O000129,2024-01-25,C0216,North,Retail,P0009,Vacuum Cleaner,Home & Kitchen,6,86.66,0.05,493.96,319.44,174.52
O000130,2024-01-25,C0123,West,Retail,P0011,Running Shoes,Apparel,6,291.03,0.0,1746.18,811.92,934.26
O000131,2024-01-25,C0106,West,Retail,P0008,Cookware Set,Home & Kitchen,1,144.8,0.15,123.08,69.09,53.99
O000132,2024-01-26,C0128,West,Retail,P0010,Coffee Maker,Home & Kitchen,2,276.64,0.0,553.28,410.84,142.44
O000133,2024-01-26,C0109,East,Online,P0019,Desk Organizer,Office Supplies,7,260.68,0.15,1551.05,1196.65,354.4
O000134,2024-01-26,C0112,North,Online,P0012,Denim Jacket,Apparel,3,97.06,0.05,276.62,170.46,106.16
O000135,2024-01-27,C0390,West,Online,P0014,Sunglasses,Apparel,4,226.65,0.0,906.6,475.84,430.76
O000136,2024-01-27,C0126,North,Retail,P0004,Power Bank,Electronics,2,156.84,0.05,298.0,228.48,69.52
O000137,2024-01-27,C0236,North,Retail,P0012,Denim Jacket,Apparel,3,97.06,0.1,262.06,170.46,91.6
O000138,2024-01-27,C0342,North,Wholesale,P0016,Ergonomic Chair,Office Supplies,5,85.32,0.0,426.6,257.15,169.45
O000139,2024-01-27,C0299,North,Retail,P0020,Monitor Arm,Office Supplies,3,193.94,0.05,552.73,388.2,164.53
O000140,2024-01-28,C0075,West,Online,P0015,Wallet,Apparel,3,245.76,0.1,663.55,449.49,214.06
O000141,2024-01-28,C0082,West,Online,P0018,Notebook Set,Office Supplies,5,171.61,0.0,858.05,427.85,430.2
O000142,2024-01-28,C0395,West,Wholesale,P0004,Power Bank,Electronics,5,156.84,0.1,705.78,571.2,134.58
O000143,2024-01-28,C0383,West,Retail,P0011,Running Shoes,Apparel,5,291.03,0.05,1382.39,676.6,705.79
O000144,2024-01-28,C0224,South,Wholesale,P0020,Monitor Arm,Office Supplies,4,193.94,0.15,659.4,517.6,141.8
O000145,2024-01-29,C0231,West,Wholesale,P0003,Bluetooth Speaker,Electronics,4,365.93,0.15,1244.16,861.32,382.84
O000146,2024-01-29,C0115,West,Wholesale,P0003,Bluetooth Speaker,Electronics,7,365.93,0.0,2561.51,1507.31,1054.2
O000147,2024-01-29,C0126,North,Retail,P0019,Desk Organizer,Office Supplies,6,260.68,0.15,1329.47,1025.7,303.77
O000148,2024-01-29,C0391,South,Online,P0017,Standing Desk,Office Supplies,3,143.29,0.2,343.9,260.85,83.05
O000149,2024-01-29,C0261,South,Wholesale,P0001,Wireless Earbuds,Electronics,7,46.85,0.1,295.15,169.26,125.89
O000150,2024-01-29,C0126,North,Retail,P0010,Coffee Maker,Home & Kitchen,7,276.64,0.0,1936.48,1437.94,498.54
O000151,2024-01-29,C0299,North,Retail,P0019,Desk Organizer,Office Supplies,1,260.68,0.05,247.65,170.95,76.7
O000152,2024-01-30,C0389,West,Online,P0009,Vacuum Cleaner,Home & Kitchen,5,86.66,0.0,433.3,266.2,167.1
O000153,2024-01-30,C0386,North,Online,P0001,Wireless Earbuds,Electronics,5,46.85,0.05,222.54,120.9,101.64
O000154,2024-01-30,C0017,South,Wholesale,P0006,Air Fryer,Home & Kitchen,5,298.69,0.0,1493.45,760.0,733.45
O000155,2024-01-30,C0148,North,Online,P0013,Backpack,Apparel,7,282.71,0.05,1880.02,1405.18,474.84
O000156,2024-01-30,C0012,North,Retail,P0003,Bluetooth Speaker,Electronics,5,365.93,0.0,1829.65,1076.65,753.0
O000157,2024-01-31,C0348,North,Wholesale,P0007,Blender,Home & Kitchen,7,121.55,0.15,723.22,621.32,101.9
O000158,2024-01-31,C0298,West,Retail,P0005,Laptop Stand,Electronics,5,108.18,0.1,486.81,324.55,162.26
O000159,2024-01-31,C0060,West,Retail,P0018,Notebook Set,Office Supplies,5,171.61,0.05,815.15,427.85,387.3
O000160,2024-01-31,C0361,West,Retail,P0014,Sunglasses,Apparel,3,226.65,0.0,679.95,356.88,323.07
O000161,2024-01-31,C0091,South,Retail,P0001,Wireless Earbuds,Electronics,7,46.85,0.1,295.15,169.26,125.89
O000162,2024-02-01,C0227,West,Retail,P0010,Coffee Maker,Home & Kitchen,5,276.64,0.05,1314.04,1027.1,286.94
O000163,2024-02-01,C0076,North,Retail,P0005,Laptop Stand,Electronics,2,108.18,0.0,216.36,129.82,86.54
O000164,2024-02-01,C0384,West,Online,P0015,Wallet,Apparel,2,245.76,0.0,491.52,299.66,191.86
O000165,2024-02-01,C0059,East,Online,P0014,Sunglasses,Apparel,4,226.65,0.05,861.27,475.84,385.43
O000166,2024-02-02,C0361,West,Retail,P0008,Cookware Set,Home & Kitchen,2,144.8,0.15,246.16,138.18,107.98
O000167,2024-02-03,C0400,South,Online,P0010,Coffee Maker,Home & Kitchen,6,276.64,0.0,1659.84,1232.52,427.32
O000168,2024-02-03,C0030,North,Online,P0005,Laptop Stand,Electronics,1,108.18,0.0,108.18,64.91,43.27
O000169,2024-02-03,C0283,West,Retail,P0001,Wireless Earbuds,Electronics,6,46.85,0.05,267.04,145.08,121.96
O000170,2024-02-03,C0397,North,Wholesale,P0002,Smart Watch,Electronics,2,189.4,0.15,321.98,201.88,120.1
O000171,2024-02-03,C0383,West,Retail,P0009,Vacuum Cleaner,Home & Kitchen,2,86.66,0.1,155.99,106.48,49.51
O000172,2024-02-04,C0141,North,Online,P0017,Standing Desk,Office Supplies,5,143.29,0.1,644.8,434.75,210.05
O000173,2024-02-04,C0325,West,Wholesale,P0005,Laptop Stand,Electronics,3,108.18,0.15,275.86,194.73,81.13
O000174,2024-02-04,C0307,North,Online,P0001,Wireless Earbuds,Electronics,7,46.85,0.1,295.15,169.26,125.89
O000175,2024-02-04,C0277,North,Retail,P0019,Desk Organizer,Office Supplies,4,260.68,0.05,990.58,683.8,306.78
O000176,2024-02-05,C0387,East,Retail,P0007,Blender,Home & Kitchen,4,121.55,0.1,437.58,355.04,82.54
O000177,2024-02-05,C0156,West,Retail,P0017,Standing Desk,Office Supplies,2,143.29,0.15,243.59,173.9,69.69
O000178,2024-02-05,C0230,East,Retail,P0008,Cookware Set,Home & Kitchen,4,144.8,0.0,579.2,276.36,302.84
O000179,2024-02-05,C0276,South,Wholesale,P0014,Sunglasses,Apparel,6,226.65,0.1,1223.91,713.76,510.15
O000180,2024-02-06,C0157,East,Online,P0004,Power Bank,Electronics,3,156.84,0.0,470.52,342.72,127.8
O000181,2024-02-06,C0218,East,Retail,P0011,Running Shoes,Apparel,5,291.03,0.1,1309.64,676.6,633.04
O000182,2024-02-07,C0171,East,Retail,P0016,Ergonomic Chair,Office Supplies,1,85.32,0.0,85.32,51.43,33.89
O000183,2024-02-07,C0146,West,Wholesale,P0012,Denim Jacket,Apparel,5,97.06,0.0,485.3,284.1,201.2
O000184,2024-02-07,C0359,North,Retail,P0006,Air Fryer,Home & Kitchen,3,298.69,0.0,896.07,456.0,440.07
O000185,2024-02-07,C0326,North,Wholesale,P0002,Smart Watch,Electronics,5,189.4,0.0,947.0,504.7,442.3
O000186,2024-02-07,C0057,East,Retail,P0004,Power Bank,Electronics,6,156.84,0.0,941.04,685.44,255.6
O000187,2024-02-08,C0149,North,Online,P0008,Cookware Set,Home & Kitchen,1,144.8,0.05,137.56,69.09,68.47
O000188,2024-02-08,C0311,North,Online,P0002,Smart Watch,Electronics,4,189.4,0.0,757.6,403.76,353.84
O000189,2024-02-08,C0123,West,Retail,P0020,Monitor Arm,Office Supplies,3,193.94,0.1,523.64,388.2,135.44
O000190,2024-02-09,C0095,East,Online,P0011,Running Shoes,Apparel,2,291.03,0.0,582.06,270.64,311.42
O000191,2024-02-09,C0065,North,Retail,P0019,Desk Organizer,Office Supplies,2,260.68,0.0,521.36,341.9,179.46
O000192,2024-02-10,C0100,East,Retail,P0019,Desk Organizer,Office Supplies,5,260.68,0.0,1303.4,854.75,448.65
O000193,2024-02-10,C0331,North,Online,P0004,Power Bank,Electronics,4,156.84,0.0,627.36,456.96,170.4
O000194,2024-02-10,C0394,West,Retail,P0009,Vacuum Cleaner,Home & Kitchen,6,86.66,0.1,467.96,319.44,148.52
O000195,2024-02-10,C0345,East,Retail,P0007,Blender,Home & Kitchen,4,121.55,0.1,437.58,355.04,82.54
O000196,2024-02-11,C0176,South,Online,P0002,Smart Watch,Electronics,3,189.4,0.0,568.2,302.82,265.38
O000197,2024-02-11,C0314,East,Retail,P0003,Bluetooth Speaker,Electronics,3,365.93,0.0,1097.79,645.99,451.8
O000198,2024-02-11,C0064,East,Online,P0002,Smart Watch,Electronics,1,189.4,0.05,179.93,100.94,78.99
O000199,2024-02-11,C0308,East,Retail,P0019,Desk Organizer,Office Supplies,4,260.68,0.0,1042.72,683.8,358.92
O000200,2024-02-12,C0334,South,Retail,P0006,Air Fryer,Home & Kitchen,6,298.69,0.0,1792.14,912.0,880.14
O000201,2024-02-12,C0080,East,Wholesale,P0020,Monitor Arm,Office Supplies,4,193.94,0.0,775.76,517.6,258.16
O000202,2024-02-13,C0292,East,Retail,P0020,Monitor Arm,Office Supplies,4,193.94,0.05,736.97,517.6,219.37
O000203,2024-02-13,C0394,West,Retail,P0015,Wallet,Apparel,1,245.76,0.15,208.9,149.83,59.07
O000204,2024-02-13,C0286,West,Online,P0018,Notebook Set,Office Supplies,2,171.61,0.0,343.22,171.14,172.08
O000205,2024-02-13,C0379,West,Online,P0013,Backpack,Apparel,6,282.71,0.0,1696.26,1204.44,491.82
O000206,2024-02-13,C0367,South,Online,P0016,Ergonomic Chair,Office Supplies,5,85.32,0.05,405.27,257.15,148.12
O000207,2024-02-14,C0179,East,Retail,P0007,Blender,Home & Kitchen,6,121.55,0.15,619.9,532.56,87.34
O000208,2024-02-14,C0140,South,Online,P0012,Denim Jacket,Apparel,2,97.06,0.0,194.12,113.64,80.48
O000209,2024-02-15,C0141,North,Online,P0001,Wireless Earbuds,Electronics,2,46.85,0.0,93.7,48.36,45.34
O000210,2024-02-15,C0395,West,Wholesale,P0008,Cookware Set,Home & Kitchen,6,144.8,0.05,825.36,414.54,410.82
O000211,2024-02-15,C0062,West,Wholesale,P0008,Cookware Set,Home & Kitchen,1,144.8,0.0,144.8,69.09,75.71
O000212,2024-02-15,C0388,South,Retail,P0005,Laptop Stand,Electronics,2,108.18,0.15,183.91,129.82,54.09
O000213,2024-02-16,C0154,West,Retail,P0001,Wireless Earbuds,Electronics,5,46.85,0.05,222.54,120.9,101.64
O000214,2024-02-16,C0029,West,Online,P0001,Wireless Earbuds,Electronics,5,46.85,0.05,222.54,120.9,101.64
O000215,2024-02-17,C0234,North,Retail,P0020,Monitor Arm,Office Supplies,3,193.94,0.15,494.55,388.2,106.35
O000216,2024-02-17,C0245,West,Wholesale,P0009,Vacuum Cleaner,Home & Kitchen,2,86.66,0.1,155.99,106.48,49.51
O000217,2024-02-17,C0095,East,Online,P0006,Air Fryer,Home & Kitchen,2,298.69,0.05,567.51,304.0,263.51
O000218,2024-02-17,C0084,East,Online,P0015,Wallet,Apparel,4,245.76,0.0,983.04,599.32,383.72
O000219,2024-02-17,C0332,North,Wholesale,P0003,Bluetooth Speaker,Electronics,4,365.93,0.2,1170.98,861.32,309.66
O000220,2024-02-17,C0181,West,Wholesale,P0002,Smart Watch,Electronics,5,189.4,0.05,899.65,504.7,394.95
O000221,2024-02-18,C0100,East,Retail,P0011,Running Shoes,Apparel,6,291.03,0.1,1571.56,811.92,759.64
O000222,2024-02-18,C0073,North,Retail,P0017,Standing Desk,Office Supplies,5,143.29,0.0,716.45,434.75,281.7
O000223,2024-02-18,C0050,East,Online,P0007,Blender,Home & Kitchen,2,121.55,0.05,230.94,177.52,53.42
O000224,2024-02-18,C0396,South,Retail,P0010,Coffee Maker,Home & Kitchen,2,276.64,0.1,497.95,410.84,87.11
O000225,2024-02-18,C0345,East,Retail,P0020,Monitor Arm,Office Supplies,4,193.94,0.05,736.97,517.6,219.37
